순위,영화명,개봉일,매출액,가중치,매출액 점유율,관객수,스크린수,상영횟수,대표국적,제작국적,배급사,"장르","등급","러닝타임","수상횟수","관람평점","남자 평점","여자 평점"
87,프랑켄슈타인: 불멸의 영웅,2014-02-06,"2,175,466,123","13,770,700,558.59",0.10%,"299,205",378,"12,113",미국,"미국,호주",(주)쇼박스,액션,12,93,0,6.33,6.07,6.64
88,"러브, 로지",2014-12-10,"2,223,782,646","17,768,023,341.54",0.10%,"292,177",379,"11,935",영국,"영국,독일",(주)넥스트엔터테인먼트월드(NEW),로맨스,15,102,0,7.99,7.89,8.08
89,오큘러스,2014-05-29,"2,122,466,537","14,029,503,809.57",0.10%,"279,488",336,"9,210",미국,미국,씨네그루(주)다우기술,공포,15,105,0,6.61,6.75,6.42
90,사랑에 대한 모든 것,2014-12-10,"2,124,639,846","16,954,625,971.08",0.10%,"273,336",399,"12,417",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),로맨스,12,123,9,7.98,7.86,8.09
91,노벰버 맨,2014-10-16,"1,891,131,320","15,034,493,994.00",0.10%,"252,444",395,"16,197",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,101,0,7.95,7.98,7.9
92,툼스톤,2014-09-18,"1,875,449,247","13,315,689,653.70",0.10%,"242,707",378,"16,226",미국,미국,(주)인벤트스톤,액션,19,113,0,7.1,7.13,7.06
93,레고 무비,2014-02-06,"1,601,300,200","13,482,947,684.00",0.10%,"236,129",317,"6,703",미국,미국,워너브러더스 코리아(주),애니메이션,0,100,5,8.42,8.69,8.27
94,쓰리데이즈 투 킬,2014-04-03,"1,749,223,200","13,294,096,320.00",0.10%,"229,673",388,"13,766",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,115,0,7.6,7.66,7.55
95,극장판 루팡 3세 VS 명탐정 코난,2014-05-29,"1,585,872,205","13,479,913,742.50",0.10%,"225,842",327,"5,429",일본,일본,(주)씨제이이엔엠,애니메이션,12,108,0,8.5,8.51,8.5
96,헤라클레스 : 레전드 비긴즈,2014-04-10,"1,662,357,151","10,157,002,192.61",0.10%,"221,340",390,"14,217",미국,미국,(주)넥스트엔터테인먼트월드(NEW),액션,15,99,0,6.11,5.91,6.36
97,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",2014-10-02,"1,567,640,100","13,732,527,276.00",0.10%,"215,046",363,"6,727",일본,일본,(주)이수C&E,액션,0,58,0,8.76,8.53,8.82
98,덕수리 5형제,2014-12-04,"1,590,807,200","11,660,616,776.00",0.10%,"210,777",346,"10,719",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15,102,0,7.33,7.23,7.44
99,덤 앤 더머 투,2014-11-27,"1,436,861,585","10,345,403,412.00",0.10%,"192,726",343,"8,990",미국,미국,씨네그루(주)다우기술,코미디,15,108,0,7.2,7.38,6.93
100,론 서바이버,2014-04-02,"1,433,147,820","12,583,037,859.60",0.10%,"190,611",305,"11,565",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15,121,3,8.78,8.81,8.72
1,베테랑,2015-08-05,"105,168,155,250","971,753,754,510.00",6.40%,"13,414,009","1,115","199,231",한국,한국,(주)씨제이이엔엠,액션,15,123,14,9.24,9.24,9.25
2,암살,2015-07-22,"98,463,132,781","896,014,508,307.10",6.00%,"12,705,700","1,519","175,185",한국,한국,(주)쇼박스,액션,15,139,12,9.1,9.02,9.17
3,어벤져스: 에이지 오브 울트론,2015-04-23,"88,582,586,366","760,924,416,883.94",5.40%,"10,494,499","1,843","191,778",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",액션,12,141,2,8.59,8.65,8.5
4,내부자들,2015-11-19,"56,465,665,657","511,578,930,852.42",3.40%,"7,055,332","1,129","152,265",한국,한국,(주)쇼박스,범죄,19,130,14,9.06,9.15,8.95
5,사도,2015-09-16,"48,842,902,501","414,676,242,233.49",3.00%,"6,246,849","1,210","124,246",한국,한국,(주)쇼박스,드라마,12,125,15,8.49,8.44,8.52
6,킹스맨 : 시크릿 에이전트,2015-02-11,"50,369,009,795","454,328,468,350.90",3.10%,"6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주),액션,19,128,0,9.02,9.04,9
7,미션 임파서블: 로그네이션,2015-07-30,"48,547,353,607","427,702,185,277.67",3.00%,"6,126,488","1,202","89,682",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,131,0,8.81,8.78,8.84
8,연평해전,2015-06-24,"45,563,228,330","416,447,906,936.20",2.80%,"6,043,784","1,013","114,450",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12,130,1,9.14,9.13,9.15
9,쥬라기 월드,2015-06-11,"47,800,698,826","394,833,772,302.76",2.90%,"5,546,792","1,290","118,959",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12,125,2,8.26,8.28,8.25
10,검은 사제들,2015-11-05,"42,405,282,092","362,565,161,886.60",2.60%,"5,442,128","1,109","131,155",한국,한국,(주)씨제이이엔엠,드라마,15,108,6,8.55,8.48,8.61
11,히말라야,2015-12-16,"39,469,775,448","342,597,650,888.64",2.40%,"5,129,409","1,095","81,042",한국,한국,(주)씨제이이엔엠,드라마,12,124,4,8.68,8.69,8.66
12,인사이드 아웃,2015-07-09,"38,024,694,936","344,123,489,170.80",2.30%,"4,969,735",931,"84,000",미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,0,102,18,9.05,9.14,9.01
13,마션,2015-10-08,"39,663,145,295","345,862,626,972.40",2.40%,"4,880,800","1,132","114,183",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",모험,12,144,3,8.72,8.77,8.66
14,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","245,787,016,983.96",1.90%,"3,872,015",825,"80,499",한국,한국,(주)쇼박스,코미디,12,125,0,8.07,8.11,8.03
15,매드 맥스: 분노의 도로,2015-05-14,"32,912,842,162","292,924,295,241.80",2.00%,"3,843,343",799,"98,824",미국,"미국,호주",워너브러더스 코리아(주),액션,15,120,34,8.9,8.88,8.92
16,인턴,2015-09-24,"28,517,741,148","257,800,379,977.92",1.70%,"3,610,566",659,"81,551",미국,미국,워너브러더스 코리아(주),코미디,12,121,0,9.04,9.11,8.99
17,분노의 질주: 더 세븐,2015-04-01,"26,454,098,694","243,642,248,971.74",1.60%,"3,247,955",983,"93,612",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15,138,3,9.21,9.25,9.16
18,터미네이터 제니시스,2015-07-02,"26,556,715,129","215,640,526,847.48",1.60%,"3,240,370","1,113","77,590",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,125,0,8.12,8.12,8.12
19,스물,2015-03-25,"23,563,421,686","202,881,060,716.46",1.40%,"3,044,811",926,"100,161",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15,115,2,8.61,8.75,8.5
20,극비수사,2015-06-18,"22,389,535,897","186,952,624,739.95",1.40%,"2,860,786",894,"66,211",한국,한국,(주)쇼박스,드라마,15,108,1,8.35,8.4,8.3
21,앤트맨,2015-09-03,"23,529,209,937","204,939,418,551.27",1.40%,"2,841,795",949,"74,649",미국,"미국,영국",월트디즈니컴퍼니코리아(주),액션,12,117,1,8.71,8.79,8.58
22,스타워즈: 깨어난 포스,2015-12-17,"24,149,478,540","198,267,218,813.40",1.50%,"2,803,234",940,"56,425",미국,미국,월트디즈니컴퍼니코리아(주),액션,12,135,12,8.21,8.23,8.19
23,빅 히어로,2015-01-21,"21,993,119,765","204,316,082,616.85",1.30%,"2,801,949",825,"62,229",미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,0,108,1,9.29,9.15,9.34
24,메이즈 러너: 스코치 트라이얼,2015-09-16,"21,596,946,349","180,766,440,941.13",1.30%,"2,744,413",804,"58,725",미국,미국,이십세기폭스코리아(주),액션,12,132,0,8.37,8.28,8.45
25,탐정 : 더 비기닝,2015-09-24,"20,463,956,973","176,399,309,107.26",1.20%,"2,625,686",764,"54,995",한국,한국,(주)씨제이이엔엠,코미디,15,120,0,8.62,8.6,8.63
26,미니언즈,2015-07-29,"18,998,046,278","156,733,881,793.50",1.20%,"2,625,599",792,"41,946",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,0,91,0,8.25,8.2,8.26
27,스파이,2015-05-21,"18,417,637,358","162,443,561,497.56",1.10%,"2,318,748",665,"62,960",미국,미국,이십세기폭스코리아(주),코미디,15,120,0,8.82,8.85,8.79
28,악의 연대기,2015-05-14,"17,361,815,332","142,714,122,029.04",1.10%,"2,192,525",776,"64,351",한국,한국,(주)씨제이이엔엠,범죄,15,102,1,8.22,8.25,8.2
29,강남 1970,2015-01-21,"17,718,699,499","137,497,108,112.24",1.10%,"2,192,276",841,"53,304",한국,한국,(주)쇼박스,액션,19,135,4,7.76,7.67,7.87
30,뷰티 인사이드,2015-08-20,"16,148,479,531","133,386,440,926.06",1.00%,"2,053,435",648,"52,618",한국,한국,(주)넥스트엔터테인먼트월드(NEW),로맨스,12,127,2,8.26,8.52,8.05
31,오늘의 연애,2015-01-14,"14,924,654,487","116,113,811,908.86",0.90%,"1,891,993",709,"47,237",한국,한국,(주)씨제이이엔엠,로맨스,15,118,0,7.78,7.88,7.67
32,테이큰 3,2015-01-01,"15,088,105,000","121,610,126,300.00",0.90%,"1,860,934",616,"38,060",미국,미국,이십세기폭스코리아(주),액션,15,112,0,8.06,8.12,7.98
33,007 스펙터,2015-11-11,"14,301,476,030","107,690,114,505.90",0.90%,"1,820,760","1,105","51,940",영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유),액션,15,148,2,7.53,7.6,7.46
34,이미테이션 게임,2015-02-17,"13,655,929,120","118,943,142,635.20",0.80%,"1,743,963",541,"44,782",영국,영국,플러스엠 엔터테인먼트,드라마,15,114,5,8.71,8.7,8.73
35,샌 안드레아스,2015-06-03,"14,435,844,152","119,817,506,461.60",0.90%,"1,716,455",847,"62,016",미국,미국,워너브러더스 코리아(주),액션,12,114,0,8.3,8.28,8.33
36,쎄시봉,2015-02-05,"13,571,515,911","107,893,551,492.45",0.80%,"1,715,370",829,"51,744",한국,한국,(주)씨제이이엔엠,로맨스,15,122,0,7.95,8.09,7.85
37,더 폰,2015-10-22,"12,309,164,568","99,211,866,418.08",0.80%,"1,593,694",794,"53,599",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15,114,2,8.06,8.14,7.99
38,대호,2015-12-16,"12,104,808,332","99,380,476,405.72",0.70%,"1,584,168",892,"39,599",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12,139,5,8.21,8.13,8.29
39,차이나타운,2015-04-29,"11,990,370,378","90,767,103,761.46",0.70%,"1,472,106",551,"45,137",한국,한국,CGV아트하우스,범죄,19,110,8,7.57,7.52,7.62
40,장수상회,2015-04-09,"8,737,364,643","76,015,072,394.10",0.50%,"1,165,780",688,"52,928",한국,한국,(주)씨제이이엔엠,드라마,12,112,1,8.7,8.81,8.64
41,성난 변호사,2015-10-08,"8,723,650,039","73,976,552,330.72",0.50%,"1,128,288",607,"36,990",한국,한국,(주)씨제이이엔엠,범죄,15,117,0,8.48,8.48,8.49
42,간신,2015-05-21,"8,946,842,910","63,075,242,515.50",0.50%,"1,110,246",697,"40,580",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,19,131,2,7.05,7.15,6.96
43,박물관이 살아있다 : 비밀의 무덤,2015-01-14,"8,170,784,606","66,837,018,077.08",0.50%,"1,101,678",500,"30,146",미국,"미국,영국",이십세기폭스코리아(주),모험,0,98,0,8.18,8.11,8.21
44,그놈이다,2015-10-28,"8,096,427,152","61,047,060,726.08",0.50%,"1,046,015",681,"38,678",한국,한국,CGV아트하우스,공포,15,109,0,7.54,7.41,7.67
45,미쓰 와이프,2015-08-13,"7,387,086,869","64,267,655,760.30",0.50%,"988,451",437,"28,864",한국,한국,플러스엠 엔터테인먼트,코미디,15,125,0,8.7,8.83,8.62
46,몬스터 호텔 2,2015-12-24,"7,029,012,585","60,660,378,608.55",0.40%,"962,770",686,"12,388",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,0,89,0,8.63,8.59,8.64
47,허삼관,2015-01-14,"7,408,943,569","56,307,971,124.40",0.50%,"955,679",621,"27,645",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12,124,0,7.6,7.58,7.62
48,살인의뢰,2015-03-12,"6,986,456,737","49,044,926,293.74",0.40%,"855,980",646,"35,244",한국,한국,씨네그루(주)다우기술,범죄,19,102,0,7.02,7.16,6.86
49,손님,2015-07-09,"6,385,937,880","43,871,393,235.60",0.40%,"828,025",634,"23,404",한국,한국,(주)씨제이이엔엠,판타지,15,107,0,6.87,6.72,6.98
50,인시디어스 3,2015-07-09,"6,396,650,620","47,271,248,081.80",0.40%,"825,517",416,"20,824",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15,97,0,7.39,7.51,7.25
51,하트 오브 더 씨,2015-12-03,"6,777,420,023","55,303,747,387.68",0.40%,"809,399",535,"29,219",미국,미국,워너브러더스 코리아(주),액션,12,121,0,8.16,8.09,8.23
52,헝거게임: 더 파이널,2015-11-18,"6,069,167,163","47,764,345,572.81",0.40%,"806,520",661,"26,973",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,137,1,7.87,7.9,7.85
53,신데렐라,2015-03-19,"5,500,502,900","44,004,023,200.00",0.30%,"716,491",531,"27,508",미국,미국,월트디즈니컴퍼니코리아(주),드라마,15,100,0,8,7.91,8
54,픽셀,2015-07-16,"5,390,909,947","41,995,188,487.13",0.30%,"681,945",557,"21,307",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),SF,12,106,0,7.79,7.72,7.86
55,열정같은소리하고있네,2015-11-25,"4,758,959,902","37,976,500,017.96",0.30%,"654,102",566,"30,459",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15,106,0,7.98,8.09,7.87
56,특종: 량첸살인기,2015-10-22,"4,754,763,118","37,847,914,419.28",0.30%,"616,481",776,"31,783",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,15,125,0,7.96,7.92,8
57,서부전선,2015-09-24,"4,751,661,400","33,974,379,010.00",0.30%,"609,063",509,"18,935",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,90,0,7.15,6.92,7.35
58,채피,2015-03-12,"4,620,380,654","36,639,618,586.22",0.30%,"573,661",536,"24,669",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15,120,0,7.93,8.05,7.73
59,극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,"3,888,539,100","34,063,602,516.00",0.20%,"550,924",509,"11,765",일본,일본,(주)씨제이이엔엠,애니메이션,0,97,0,8.76,8.68,8.78
60,헬머니,2015-03-05,"4,120,166,972","30,942,453,959.72",0.30%,"522,929",422,"24,846",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,19,108,0,7.51,7.8,7.25
61,도라에몽 : 스탠 바이 미,2015-02-12,"3,684,756,429","31,320,429,646.50",0.20%,"503,968",432,"13,063",일본,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,0,95,1,8.5,8.42,8.54
62,위험한 상견례 2,2015-04-29,"3,575,384,754","27,816,493,386.12",0.20%,"472,693",429,"18,409",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",로맨스,15,119,0,7.78,7.78,7.77
63,명탐정 코난 : 화염의 해바라기,2015-08-05,"3,296,031,400","28,181,068,470.00",0.20%,"471,205",433,"8,877",일본,일본,(주)씨제이이엔엠,애니메이션,0,112,0,8.55,8.46,8.57
64,순수의 시대,2015-03-05,"3,740,948,828","23,904,663,010.92",0.20%,"469,891",546,"23,623",한국,한국,(주)씨제이이엔엠,드라마,19,113,0,6.39,6.51,6.28
65,오피스,2015-09-03,"3,460,460,230","24,465,453,826.10",0.20%,"441,208",425,"18,575",한국,한국,(주)리틀빅픽쳐스,공포,15,111,3,7.07,7.22,6.93
66,"협녀, 칼의 기억",2015-08-13,"3,360,045,489","20,193,873,388.89",0.20%,"431,310",572,"16,099",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,121,0,6.01,5.86,6.15
67,무뢰한,2015-05-27,"3,262,207,431","23,814,114,246.30",0.20%,"414,641",482,"23,660",한국,한국,CGV아트하우스,로맨스,19,118,9,7.3,7.3,7.31
68,판타스틱 4,2015-08-20,"3,029,310,600","18,933,191,250.00",0.20%,"399,667",451,"16,241",미국,미국,이십세기폭스코리아(주),액션,12,105,1,6.25,5.94,6.99
69,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,"2,902,090,600","25,596,439,092.00",0.20%,"391,760",544,"10,893",한국,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,0,62,0,8.82,8.85,8.81
70,내 심장을 쏴라,2015-01-28,"2,856,859,132","22,854,873,056.00",0.20%,"387,409",452,"20,042",한국,한국,"(주)리틀빅픽쳐스,(주)이수C&E",드라마,15,102,1,8,7.89,8.05
71,소수의견,2015-06-24,"2,892,681,205","25,195,253,295.55",0.20%,"383,582",398,"16,273",한국,한국,(주)시네마서비스,드라마,15,126,7,8.71,8.67,8.75
72,그레이의 50가지 그림자,2015-02-26,"2,918,598,796","15,993,921,402.08",0.20%,"364,415",512,"19,227",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,19,125,5,5.48,5.51,5.46
73,홈,2015-05-21,"2,693,335,391","22,785,617,407.86",0.20%,"360,742",532,"10,484",미국,미국,(주)씨제이이엔엠,애니메이션,0,94,0,8.46,8.35,8.5
74,경성학교: 사라진 소녀들,2015-06-18,"2,749,609,100","17,762,474,786.00",0.20%,"356,415",489,"18,520",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15,99,5,6.46,6.74,6.25
75,치외법권,2015-08-27,"2,664,941,005","19,240,874,056.10",0.20%,"346,483",446,"15,297",한국,한국,판씨네마(주),액션,15,104,0,7.22,7.13,7.34
76,아메리칸 스나이퍼,2015-01-14,"2,800,001,438","24,388,012,524.98",0.20%,"344,766",308,"10,769",미국,미국,워너브러더스 코리아(주),액션,19,132,4,8.71,8.76,8.6
77,에베레스트,2015-09-24,"3,055,119,748","23,860,485,231.88",0.20%,"332,180",331,"9,343",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유),모험,12,121,0,7.81,7.71,7.92
78,스폰지밥 3D,2015-02-18,"2,458,946,200","19,450,264,442.00",0.20%,"325,016",357,"8,415",미국,미국,(주)씨제이이엔엠,애니메이션,0,92,0,7.91,8.12,7.82
79,극적인 하룻밤,2015-12-03,"2,610,567,429","19,553,150,043.21",0.20%,"320,884",434,"18,332",한국,한국,CGV아트하우스,로맨스,19,107,0,7.49,7.79,7.24
80,도리화가,2015-11-25,"2,246,950,339","16,357,798,467.92",0.10%,"317,505",563,"19,168",한국,한국,(주)씨제이이엔엠,드라마,12,109,1,7.28,7.31,7.25
81,주피터 어센딩,2015-02-05,"2,687,549,879","17,684,078,203.82",0.20%,"309,842",561,"16,454",미국,미국,워너브러더스 코리아(주),SF,12,127,1,6.58,6.7,6.44
82,패딩턴,2015-01-07,"2,246,438,729","19,678,803,266.04",0.10%,"305,102",408,"9,738",영국,"영국,프랑스,캐나다",롯데쇼핑㈜롯데엔터테인먼트,코미디,0,95,0,8.76,8.77,8.75
83,런 올 나이트,2015-03-19,"2,293,671,495","18,211,751,670.30",0.10%,"289,534",411,"15,865",미국,미국,워너브러더스 코리아(주),액션,19,114,0,7.94,8.09,7.77
84,다이노 타임,2015-04-30,"2,108,596,800","17,901,986,832.00",0.10%,"284,900",430,"6,713",한국,"한국,미국",(주)씨제이이엔엠,애니메이션,0,85,0,8.49,8.38,8.51
85,인서전트,2015-03-25,"2,158,449,889","16,598,479,646.41",0.10%,"282,662",480,"18,214",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,15,119,0,7.69,7.49,7.87
86,백 투 더 비기닝,2015-02-26,"2,018,287,400","15,560,995,854.00",0.10%,"266,610",423,"13,839",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,15,106,0,7.71,7.82,7.92
87,투모로우랜드,2015-05-27,"2,083,283,000","15,749,619,480.00",0.10%,"265,810",435,"14,640",미국,미국,월트디즈니컴퍼니코리아(주),모험,12,129,0,7.56,7.54,7.57
88,스파이 브릿지,2015-11-05,"2,049,608,478","17,749,609,419.48",0.10%,"264,872",425,"12,434",미국,미국,이십세기폭스코리아(주),드라마,12,141,6,8.66,8.59,8.78
89,함정,2015-09-10,"2,090,877,200","13,820,698,292.00",0.10%,"257,990",445,"10,899",한국,한국,(주)인벤트스톤,공포,19,96,1,6.61,6.88,6.29
90,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015-02-12,"1,885,543,600","16,856,759,784.00",0.10%,"257,381",187,"5,300",일본,일본,(주)씨제이이엔엠,애니메이션,12,92,0,8.94,8.67,9.09
91,언브로큰,2015-01-07,"1,997,947,292","16,103,455,173.52",0.10%,"256,475",401,"10,780",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15,137,4,8.06,8.03,8.11
92,하늘을 걷는 남자,2015-10-28,"2,267,273,653","19,271,826,050.50",0.10%,"238,257",415,"12,015",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12,123,0,8.5,8.48,8.52
93,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015-01-14,"1,653,084,000","13,687,535,520.00",0.10%,"233,347",360,"7,472",일본,일본,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,0,98,0,8.28,8.01,8.38
94,조선마술사,2015-12-30,"1,506,449,794","10,349,310,084.78",0.10%,"224,657",596,"4,922",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12,122,0,6.87,6.58,7.03
95,괴물의 아이,2015-11-25,"1,652,580,816","14,427,030,523.68",0.10%,"223,216",363,"10,487",일본,일본,"CGV아트하우스,(주)리틀빅픽쳐스",애니메이션,12,119,2,8.73,8.76,8.7
96,노아의 방주: 남겨진 녀석들,2015-04-30,"1,589,433,800","13,303,560,906.00",0.10%,"220,189",436,"5,422",독일,"독일,벨기에,룩셈부르크,아일랜드",씨네그루(주)다우기술,애니메이션,0,85,0,8.37,8.58,8.3
97,언프렌디드: 친구삭제,2015-05-07,"1,645,623,941","8,804,088,084.35",0.10%,"219,892",386,"9,994",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15,83,2,5.35,5.63,5.06
98,연애의 맛,2015-05-07,"1,725,990,153","13,600,802,405.64",0.10%,"214,539",398,"12,474",한국,한국,"(주)와우픽쳐스,(주)쇼박스",코미디,19,101,0,7.88,7.9,7.86
99,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,"1,528,041,500","13,400,923,955.00",0.10%,"214,284",360,"4,271",일본,일본,(주)이수C&E,애니메이션,0,80,0,8.77,8.65,8.81
100,버드맨,2015-03-05,"1,664,640,800","14,082,861,168.00",0.10%,"206,241",380,"12,051",미국,미국,이십세기폭스코리아(주),코미디,19,119,23,8.46,8.51,8.42
1,부산행,2016-07-20,"93,178,283,048","801,333,234,212.80",5.60%,"11,565,479","1,788","151,315",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15,118,14,8.6,8.58,8.61
2,검사외전,2016-02-03,"77,320,403,264","661,862,651,939.84",4.60%,"9,707,581","1,812","153,532",한국,한국,(주)쇼박스,범죄,15,126,0,8.56,8.54,8.58
3,캡틴 아메리카: 시빌 워,2016-04-27,"72,672,111,827","640,968,026,314.14",4.40%,"8,677,249","1,991","161,696",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",액션,12,147,1,8.82,8.94,8.63
4,밀정,2016-09-07,"61,269,783,831","525,082,047,431.67",3.70%,"7,500,420","1,444","138,161",한국,"한국,미국",워너브러더스 코리아(주),액션,15,140,13,8.57,8.59,8.55
5,터널,2016-08-10,"57,529,484,417","496,479,450,518.71",3.50%,"7,120,508","1,105","113,201",한국,한국,(주)쇼박스,드라마,12,126,3,8.63,8.71,8.55
6,인천상륙작전,2016-07-27,"55,101,410,303","471,117,058,090.65",3.30%,"7,049,643","1,049","97,019",한국,한국,(주)씨제이이엔엠,액션,12,110,4,8.55,8.59,8.51
7,럭키,2016-10-13,"56,444,461,256","494,453,480,602.56",3.40%,"6,975,290","1,234","155,977",한국,한국,(주)쇼박스,코미디,15,112,2,8.76,8.89,8.63
8,곡성,2016-05-12,"55,863,520,382","459,756,772,743.86",3.40%,"6,879,908","1,485","130,322",한국,"한국,미국",이십세기폭스코리아(주),공포,15,156,23,8.23,8.43,7.97
9,덕혜옹주,2016-08-03,"44,393,459,109","387,110,963,430.48",2.70%,"5,599,177",964,"97,307",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12,127,8,8.72,8.73,8.72
10,닥터 스트레인지,2016-10-26,"47,481,830,396","422,113,472,220.44",2.80%,"5,446,239","1,503","162,856",미국,미국,월트디즈니컴퍼니코리아(주),액션,12,115,3,8.89,8.91,8.85
11,마스터,2016-12-21,"39,784,641,065","344,137,145,212.25",2.40%,"4,935,320","1,501","70,786",한국,한국,(주)씨제이이엔엠,액션,15,143,0,8.65,8.67,8.64
12,주토피아,2016-02-17,"37,096,057,742","346,106,218,732.86",2.20%,"4,706,158",735,"131,005",미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,0,108,10,9.33,9.33,9.33
13,신비한 동물사전,2016-11-16,"39,300,515,858","265,671,487,200.08",2.40%,"4,662,534","1,431","115,676",미국,"미국,영국",워너브러더스 코리아(주),판타지,12,142,0,6.76,6.36,7.13
14,판도라,2016-12-07,"33,955,398,164","298,128,395,879.92",2.00%,"4,313,864","1,184","90,758",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12,136,1,8.78,8.8,8.76
15,아가씨,2016-06-01,"35,211,229,991","270,774,358,630.79",2.10%,"4,287,839","1,171","90,365",한국,한국,(주)씨제이이엔엠,공포,19,144,26,7.69,7.73,7.66
16,쿵푸팬더3,2016-01-28,"31,340,798,156","275,172,207,809.68",1.90%,"3,984,812","1,365","97,404",미국,미국,(주)씨제이이엔엠,애니메이션,0,95,0,8.78,8.7,8.82
17,귀향,2016-02-24,"27,249,738,990","254,240,064,776.70",1.60%,"3,587,173",876,"90,286",한국,한국,(주)와우픽쳐스,드라마,15,127,6,9.33,9.19,9.4
18,데드풀,2016-02-17,"27,595,618,651","235,390,627,093.03",1.70%,"3,317,196","1,036","82,521",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",액션,19,106,0,8.53,8.68,8.27
19,나우 유 씨 미 2,2016-07-13,"25,116,690,113","214,245,366,663.89",1.50%,"3,100,113","1,200","56,981",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12,129,0,8.53,8.56,8.48
20,형,2016-11-23,"23,113,768,293","206,174,813,173.56",1.40%,"2,979,659",993,"83,518",한국,한국,(주)씨제이이엔엠,코미디,12,110,2,8.92,8.92,8.87
21,엑스맨: 아포칼립스,2016-05-25,"24,467,887,950","201,615,396,708.00",1.50%,"2,938,818","1,262","66,471",미국,미국,이십세기폭스코리아(주),액션,12,143,0,8.24,8.17,8.36
22,미스 페레그린과 이상한 아이들의 집,2016-09-28,"21,841,214,586","187,397,621,147.88",1.30%,"2,718,158",904,"70,451",미국,"미국,벨기에,영국",이십세기폭스코리아(주),판타지,12,127,0,8.58,8.54,8.6
